otto_product_id,export_batch_id,asin,parent_asin,child_asin,amazon_url,product_title,brand,amazon_category,variation_attributes,amazon_price,coupon_detected,delivery_days,stock_status,rating,review_count,source_confidence_score,product_match_type,opportunity_type,marketplace_signal_sources,primary_discovery_source,secondary_discovery_sources,core_keyword,related_keywords,ebay_category_hint,demand_type,sell_within_30_days_confidence,stagnation_risk_score,demand_score,category_velocity_score,keyword_demand_score,competitor_success_score,saturation_score,trend_momentum_score,policy_risk_score,vero_risk_score,restricted_category_risk_score,ip_risk_score,edge_case_risk_score,fragility_score,variation_confusion_score,total_cost_estimate,predicted_monthly_profit_per_100_listings,final_validation_score,validation_status,validated_at,raw_delivery_text,delivery_context,prime_signal_detected,prime_signal_source,fba_signal_detected,ships_from_amazon,sold_by_amazon,fulfilled_by_amazon,shipping_gate_result,shipping_review_required
OTTO-7cd156d5-0089-4f5a-949f-13c92ebe2fa6,dc029f21-9f54-4109-9291-69c2d27f8cdf,B0DTY91JWP,,,https://www.amazon.com/OLIPIC-Rolling-Adjustable-Warehouse-Firewood/dp/B0DTY91JWP/ref=sr_1_2,"Tire Rack, Rolling Tire Storage Rack 60"" X 59"" X 21"", Adjustable Metal Rolling Tire Rack for Indoor/Outdoor Use Tire Rack for Garage Warehouse, Also Be Used for Firewood Rack",OLIPIC,Automotive > Tools & Equipment > Tire & Wheel Tools > Tire Repair Tools,,95.75,false,8,in_stock,5,2,77.31428571428572,similar,direct_match,ebay_browse_api,ebay_browse_api,,garage storage rack,,Other Home Organization,steady,73.08462364928008,25,73.16062166021746,37.13402777777778,100,63.29166666666673,45.29228855721393,96,0,0,0,0,0,0,0,108.59,0,78.57534241038525,validated,2026-05-26T20:20:23.417Z,FREE delivery June 1 - 3. Details,public_guest_zip,true,prime_badge,false,false,false,false,pass,false
OTTO-cca027d2-a8b6-4276-b40e-a155767650f9,dc029f21-9f54-4109-9291-69c2d27f8cdf,B0DZC7TZNL,,,https://www.amazon.com/Klutch-Garage-Overhead-Wall-Storage/dp/B0DZC7TZNL/ref=sr_1_1,"Klutch Garage Overhead Storage Rack with Adjustable Height, 48in.L x 24in.D, 23in.–37in.H",Klutch,Tools & Home Improvement > Storage & Home Organization > Garage Storage > Storage Racks,,49.99,false,4,in_stock,4.3,27,85.9375,exact,direct_match,ebay_browse_api,ebay_browse_api,,garage storage rack,,Other Home Organization,high_velocity,88.8357934217902,25,79.5004432413218,65.64518518518517,100,68.1317829457365,40.714285714285715,88,0,0,0,0,0,0,0,56.76,0,86.1750813278441,validated,2026-05-26T20:21:01.785Z,"FREE delivery Saturday, May 30. Details",public_guest_zip,true,prime_badge,false,false,false,false,pass,false
OTTO-8ad59c98-d92d-45ba-8232-50fe5e72b6a8,dc029f21-9f54-4109-9291-69c2d27f8cdf,B0FK3K1228,,,https://www.amazon.com/Multifunctional-Storage-Portable-Supplies-Organizers/dp/B0FK3K1228/ref=sr_1_1,"24QT Craft Storage Box with Removable Trays - Art Supply Organizer & Marker Organizer, Multi-Purpose Storage Bins with Lids for Playroom Storage, Board Game Storage & Craft Organizers and Storage",Generic,"Arts, Crafts & Sewing > Organization, Storage & Transport > Storage Boxes & Organizers",,24.66,false,5,in_stock,5,11,86.33333333333334,exact,direct_match,ebay_browse_api,ebay_browse_api,,craft storage box,,Storage Boxes,steady,75.59970544820185,25,74.48729200214709,75.67004830917877,100,58.833333333333385,38.31521739130435,78,0,0,0,0,0,0,0,28.08,0,80.6421139626946,validated,2026-05-26T20:28:00.155Z,"FREE delivery Sunday, May 31 on orders shipped by Amazon over $35 Or Prime members get FREE delivery Friday, May 29. Order within 8 hrs 32 mins. Join Prime (function(f) {var _np=(window.P._namespace(""udm-sfx-prime-signup-ingress-script""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) { P.when('ready').execute(""udm-sfx-prime-signup-ingress-handler"", () => { P.load.js(""https://d2lbyuknrhysf9.cloudfront.net/SFXInjectableScript.js""); P.when(""sfx-injectable"").execute(""udm-sfx-prime-signup-ingress-flow"", async (api) => { const clientId = ""DetailPage""; const ingressId = ""sdmPrimeUpsell""; const redirectURL = btoa(window.location.pathname); const linkId = ""udm-sfx-prime-signup-trigger""; const experienceUUID = api.initiate({ clientId, ingressId, redirectURL, planOptimizationId: ""default"" }, {}); const ingressButtons = document.querySelectorAll(""#"" + linkId); ingressButtons.forEach(button => { button.onclick = () => { api.show(experienceUUID); }; }); /* look at the query params to see if we need to open the injectable immediately in the case of sign-in redirect */ const queryString = window.location.search; const urlParams = new URLSearchParams(queryString); const loadInjectableValue = urlParams.get('loadInjectable'); if (loadInjectableValue) { const [currClientId, currIngressId] = loadInjectableValue.split(""_""); if (currClientId === clientId && currIngressId === ingressId) { api.show(experienceUUID); } } }); }); }));",public_guest_zip,true,"prime_badge,delivery_text_prime",false,false,false,false,pass,false
OTTO-0052350c-b023-448f-bede-e5349b3eae6e,dc029f21-9f54-4109-9291-69c2d27f8cdf,B0B6RCKQBS,,,https://www.amazon.com/Storage-Organizer-Plastic-Hardware-Component/dp/B0B6RCKQBS/ref=sr_1_3,"Parts Screws Storage Organizer, Plastic Hardware Art Craft Small Tool Parts Component Organizer Drawer Box 25 Drawers (Black)",whillar,Tools & Home Improvement > Power & Hand Tools > Tool Organizers > Tool Boxes,,23.99,false,6,in_stock,4,85,77.13157894736844,similar,direct_match,ebay_browse_api,ebay_browse_api,,craft storage box,,Storage Boxes,high_velocity,85.02257767312179,25,76.35245142683668,66.44426229508197,100,67.8360655737705,43.3617941712204,96,0,0,0,0,0,0,0,27.32,0,83.83737984633144,validated,2026-05-26T20:28:43.211Z,"FREE delivery Monday, June 1 on orders shipped by Amazon over $35 Or Prime members get FREE delivery Friday, May 29. Order within 8 hrs 31 mins. Join Prime (function(f) {var _np=(window.P._namespace(""udm-sfx-prime-signup-ingress-script""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) { P.when('ready').execute(""udm-sfx-prime-signup-ingress-handler"", () => { P.load.js(""https://d2lbyuknrhysf9.cloudfront.net/SFXInjectableScript.js""); P.when(""sfx-injectable"").execute(""udm-sfx-prime-signup-ingress-flow"", async (api) => { const clientId = ""DetailPage""; const ingressId = ""sdmPrimeUpsell""; const redirectURL = btoa(window.location.pathname); const linkId = ""udm-sfx-prime-signup-trigger""; const experienceUUID = api.initiate({ clientId, ingressId, redirectURL, planOptimizationId: ""default"" }, {}); const ingressButtons = document.querySelectorAll(""#"" + linkId); ingressButtons.forEach(button => { button.onclick = () => { api.show(experienceUUID); }; }); /* look at the query params to see if we need to open the injectable immediately in the case of sign-in redirect */ const queryString = window.location.search; const urlParams = new URLSearchParams(queryString); const loadInjectableValue = urlParams.get('loadInjectable'); if (loadInjectableValue) { const [currClientId, currIngressId] = loadInjectableValue.split(""_""); if (currClientId === clientId && currIngressId === ingressId) { api.show(experienceUUID); } } }); }); }));",public_guest_zip,true,"prime_badge,delivery_text_prime",false,false,false,false,pass,false
OTTO-1896d520-0dce-49fd-b1fb-f3cc30ad0137,dc029f21-9f54-4109-9291-69c2d27f8cdf,B0FBGHHYM7,,,https://www.amazon.com/Three-Layer-Multipurpose-Portable-Organizer-Accessories/dp/B0FBGHHYM7/ref=sr_1_1,"Large Capacity 3-Layer Storage Box with Handle, Cantilever Portable Tackle Box & Craft Case Organizer, Folding Plastic Medicine Box for Sewing Supplies, Makeup, Nail, Hair Accessories (Pink)",Rainfordhoma,"Arts, Crafts & Sewing > Organization, Storage & Transport > Storage Boxes & Organizers",,20.58,false,5,in_stock,4,55,80.16666666666667,exact,direct_match,ebay_browse_api,ebay_browse_api,,craft storage box,,Storage Boxes,steady,79.01434314648526,25,75.42031237754645,76.65753424657534,100,59.99324715415775,36.51021783067595,78,0,0,0,0,0,0,0,23.45,0,81.69567949988524,validated,2026-05-26T20:29:57.638Z,"FREE delivery Sunday, May 31 on orders shipped by Amazon over $35 Or Prime members get FREE delivery Friday, May 29. Order within 8 hrs 30 mins. Join Prime (function(f) {var _np=(window.P._namespace(""udm-sfx-prime-signup-ingress-script""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) { P.when('ready').execute(""udm-sfx-prime-signup-ingress-handler"", () => { P.load.js(""https://d2lbyuknrhysf9.cloudfront.net/SFXInjectableScript.js""); P.when(""sfx-injectable"").execute(""udm-sfx-prime-signup-ingress-flow"", async (api) => { const clientId = ""DetailPage""; const ingressId = ""sdmPrimeUpsell""; const redirectURL = btoa(window.location.pathname); const linkId = ""udm-sfx-prime-signup-trigger""; const experienceUUID = api.initiate({ clientId, ingressId, redirectURL, planOptimizationId: ""default"" }, {}); const ingressButtons = document.querySelectorAll(""#"" + linkId); ingressButtons.forEach(button => { button.onclick = () => { api.show(experienceUUID); }; }); /* look at the query params to see if we need to open the injectable immediately in the case of sign-in redirect */ const queryString = window.location.search; const urlParams = new URLSearchParams(queryString); const loadInjectableValue = urlParams.get('loadInjectable'); if (loadInjectableValue) { const [currClientId, currIngressId] = loadInjectableValue.split(""_""); if (currClientId === clientId && currIngressId === ingressId) { api.show(experienceUUID); } } }); }); }));",public_guest_zip,true,"prime_badge,delivery_text_prime",false,false,false,false,pass,false
