otto_product_id,export_batch_id,asin,parent_asin,child_asin,amazon_url,product_title,brand,amazon_category,variation_attributes,amazon_price,coupon_detected,delivery_days,stock_status,rating,review_count,source_confidence_score,product_match_type,opportunity_type,marketplace_signal_sources,primary_discovery_source,secondary_discovery_sources,core_keyword,related_keywords,ebay_category_hint,demand_type,sell_within_30_days_confidence,stagnation_risk_score,demand_score,category_velocity_score,keyword_demand_score,competitor_success_score,saturation_score,trend_momentum_score,policy_risk_score,vero_risk_score,restricted_category_risk_score,ip_risk_score,edge_case_risk_score,fragility_score,variation_confusion_score,total_cost_estimate,predicted_monthly_profit_per_100_listings,final_validation_score,validation_status,validated_at,raw_delivery_text,delivery_context,prime_signal_detected,prime_signal_source,fba_signal_detected,ships_from_amazon,sold_by_amazon,fulfilled_by_amazon,shipping_gate_result,shipping_review_required
OTTO-ed1abf87-a2c6-4586-a935-dd17e737e172,ac81386b-f2ae-4456-978a-ade1011d91d9,B0DZC7TZNL,,,https://www.amazon.com/Klutch-Garage-Overhead-Wall-Storage/dp/B0DZC7TZNL/ref=sr_1_1,"Klutch Garage Overhead Storage Rack with Adjustable Height, 48in.L x 24in.D, 23in.–37in.H",Klutch,Tools & Home Improvement > Storage & Home Organization > Garage Storage > Storage Racks,,49.99,false,4,in_stock,4.3,27,85.9375,exact,direct_match,ebay_browse_api,ebay_browse_api,,garage storage rack,,Other Home Organization,high_velocity,88.39766220087628,25,79.46240310077518,65.63913043478259,100,68.89673913043475,40.586450960566225,90,0,0,0,0,0,0,0,56.76,0,86.05413648045162,validated,2026-05-26T20:05:32.221Z,"FREE delivery Saturday, May 30. Details",public_guest_zip,false,,false,false,false,false,pass,false
OTTO-8157f9c9-8035-4d62-96f0-a5b2fc8c9dd2,ac81386b-f2ae-4456-978a-ade1011d91d9,B0FK3K1228,,,https://www.amazon.com/Multifunctional-Storage-Portable-Supplies-Organizers/dp/B0FK3K1228/ref=sr_1_1,"24QT Craft Storage Box with Removable Trays - Art Supply Organizer & Marker Organizer, Multi-Purpose Storage Bins with Lids for Playroom Storage, Board Game Storage & Craft Organizers and Storage",Generic,"Arts, Crafts & Sewing > Organization, Storage & Transport > Storage Boxes & Organizers",,24.66,false,5,in_stock,5,11,86.33333333333334,exact,direct_match,ebay_browse_api,ebay_browse_api,,craft storage box,,Storage Boxes,steady,75.40278849097031,25,74.44293813077422,75.69765258215965,100,58.887323943661904,37.610289838202775,78,0,0,0,0,0,0,0,28.08,0,80.57957856197484,validated,2026-05-26T20:12:49.967Z,"FREE delivery Sunday, May 31 on orders shipped by Amazon over $35 Or Prime members get FREE delivery Friday, May 29. Order within 8 hrs 47 mins. Join Prime (function(f) {var _np=(window.P._namespace(""udm-sfx-prime-signup-ingress-script""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) { P.when('ready').execute(""udm-sfx-prime-signup-ingress-handler"", () => { P.load.js(""https://d2lbyuknrhysf9.cloudfront.net/SFXInjectableScript.js""); P.when(""sfx-injectable"").execute(""udm-sfx-prime-signup-ingress-flow"", async (api) => { const clientId = ""DetailPage""; const ingressId = ""sdmPrimeUpsell""; const redirectURL = btoa(window.location.pathname); const linkId = ""udm-sfx-prime-signup-trigger""; const experienceUUID = api.initiate({ clientId, ingressId, redirectURL, planOptimizationId: ""default"" }, {}); const ingressButtons = document.querySelectorAll(""#"" + linkId); ingressButtons.forEach(button => { button.onclick = () => { api.show(experienceUUID); }; }); /* look at the query params to see if we need to open the injectable immediately in the case of sign-in redirect */ const queryString = window.location.search; const urlParams = new URLSearchParams(queryString); const loadInjectableValue = urlParams.get('loadInjectable'); if (loadInjectableValue) { const [currClientId, currIngressId] = loadInjectableValue.split(""_""); if (currClientId === clientId && currIngressId === ingressId) { api.show(experienceUUID); } } }); }); }));",public_guest_zip,true,"prime_badge,delivery_text_prime",false,false,false,false,pass,false
OTTO-8e292487-2c26-41ad-acd2-d4f0e6bdb72c,ac81386b-f2ae-4456-978a-ade1011d91d9,B0B6RCKQBS,,,https://www.amazon.com/Storage-Organizer-Plastic-Hardware-Component/dp/B0B6RCKQBS/ref=sr_1_2,"Parts Screws Storage Organizer, Plastic Hardware Art Craft Small Tool Parts Component Organizer Drawer Box 25 Drawers (Black)",whillar,Tools & Home Improvement > Power & Hand Tools > Tool Organizers > Tool Boxes,,23.99,false,6,in_stock,4,85,77.13157894736844,similar,direct_match,ebay_browse_api,ebay_browse_api,,craft storage box,,Storage Boxes,steady,84.50770687920517,25,76.03912783751494,66.28225806451613,100,67.45967741935488,42.97491039426524,96,0,0,0,0,0,0,0,27.32,0,83.61466507105577,validated,2026-05-26T20:13:31.088Z,"FREE delivery Monday, June 1 on orders shipped by Amazon over $35 Or Prime members get FREE delivery Friday, May 29. Order within 8 hrs 46 mins. Join Prime (function(f) {var _np=(window.P._namespace(""udm-sfx-prime-signup-ingress-script""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) { P.when('ready').execute(""udm-sfx-prime-signup-ingress-handler"", () => { P.load.js(""https://d2lbyuknrhysf9.cloudfront.net/SFXInjectableScript.js""); P.when(""sfx-injectable"").execute(""udm-sfx-prime-signup-ingress-flow"", async (api) => { const clientId = ""DetailPage""; const ingressId = ""sdmPrimeUpsell""; const redirectURL = btoa(window.location.pathname); const linkId = ""udm-sfx-prime-signup-trigger""; const experienceUUID = api.initiate({ clientId, ingressId, redirectURL, planOptimizationId: ""default"" }, {}); const ingressButtons = document.querySelectorAll(""#"" + linkId); ingressButtons.forEach(button => { button.onclick = () => { api.show(experienceUUID); }; }); /* look at the query params to see if we need to open the injectable immediately in the case of sign-in redirect */ const queryString = window.location.search; const urlParams = new URLSearchParams(queryString); const loadInjectableValue = urlParams.get('loadInjectable'); if (loadInjectableValue) { const [currClientId, currIngressId] = loadInjectableValue.split(""_""); if (currClientId === clientId && currIngressId === ingressId) { api.show(experienceUUID); } } }); }); }));",public_guest_zip,true,"prime_badge,delivery_text_prime",false,false,false,false,pass,false
OTTO-ad2122a1-91c6-496d-bde9-8df822f28d5e,ac81386b-f2ae-4456-978a-ade1011d91d9,B0FBGHHYM7,,,https://www.amazon.com/Three-Layer-Multipurpose-Portable-Organizer-Accessories/dp/B0FBGHHYM7/ref=sr_1_1,"Large Capacity 3-Layer Storage Box with Handle, Cantilever Portable Tackle Box & Craft Case Organizer, Folding Plastic Medicine Box for Sewing Supplies, Makeup, Nail, Hair Accessories (Pink)",Rainfordhoma,"Arts, Crafts & Sewing > Organization, Storage & Transport > Storage Boxes & Organizers",,20.58,false,5,in_stock,4,55,80.16666666666667,exact,direct_match,ebay_browse_api,ebay_browse_api,,craft storage box,,Storage Boxes,steady,79.12876964362738,25,75.48959650707619,76.75945945945946,100,59.80367867867868,36.279938475060426,78,0,0,0,0,0,0,0,23.45,0,81.7450713630297,validated,2026-05-26T20:14:41.640Z,"FREE delivery Sunday, May 31 on orders shipped by Amazon over $35 Or Prime members get FREE delivery Friday, May 29. Order within 8 hrs 45 mins. Join Prime (function(f) {var _np=(window.P._namespace(""udm-sfx-prime-signup-ingress-script""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) { P.when('ready').execute(""udm-sfx-prime-signup-ingress-handler"", () => { P.load.js(""https://d2lbyuknrhysf9.cloudfront.net/SFXInjectableScript.js""); P.when(""sfx-injectable"").execute(""udm-sfx-prime-signup-ingress-flow"", async (api) => { const clientId = ""DetailPage""; const ingressId = ""sdmPrimeUpsell""; const redirectURL = btoa(window.location.pathname); const linkId = ""udm-sfx-prime-signup-trigger""; const experienceUUID = api.initiate({ clientId, ingressId, redirectURL, planOptimizationId: ""default"" }, {}); const ingressButtons = document.querySelectorAll(""#"" + linkId); ingressButtons.forEach(button => { button.onclick = () => { api.show(experienceUUID); }; }); /* look at the query params to see if we need to open the injectable immediately in the case of sign-in redirect */ const queryString = window.location.search; const urlParams = new URLSearchParams(queryString); const loadInjectableValue = urlParams.get('loadInjectable'); if (loadInjectableValue) { const [currClientId, currIngressId] = loadInjectableValue.split(""_""); if (currClientId === clientId && currIngressId === ingressId) { api.show(experienceUUID); } } }); }); }));",public_guest_zip,true,"prime_badge,delivery_text_prime",false,false,false,false,pass,false
